id,trajectory
7229779946170748162,"['Ngong Ping', 'Australia Dairy Company']"
7229949152048909614,"['HSBC Building', 'Australia Dairy Company', 'Po Lin Monastery']"
7230027344373697798,"['K11 MUSEA', 'Hong Kong International Airport']"
7230331722691333381,"['Water World', 'Big Wave Bay', 'Ocean Park']"
7230374447314652422,"['Ngong Ping 360', 'SOGO', 'Observation Wheel']"
7230419091893308678,"['Hong Kong Disneyland', 'Tomorrowland', 'Toy Story Land']"
7230819490861255942,"['Observation Wheel', 'Museum of Art', 'Jordan', 'Central', 'The Peak Tram', 'Lan Kwai Fong', 'Lockhart Rd']"
7231069533514059051,"['Mak Man Kee Noodle Shop', 'Blue Bottle Coffee', 'The Monocle Shop', 'Yat Lok Restaurant']"
7231395769113201925,"['LOUIS VUITTON', 'Hong Kong International Airport']"
7231493749308738821,"[""St John's Cathedral"", 'Times Square', 'Central']"
7231520221096316166,"['Po Lin Monastery', 'Lantau Island', 'The Ritz-Carlton', 'LOUIS VUITTON', 'Tai Po', 'Repulse Bay']"
7231755858823138565,"['Hong Kong Disneyland', 'The Hong Kong Tourism Board Kowloon Visitor Centre']"
7231832776658406657,"['Bridal Tea House Hotel', 'Yau Ma Tei Station', 'Mong Kok']"
7231869888036392218,"['Hong Kong International Airport', 'The Hong Kong Tourism Board Kowloon Visitor Centre']"
7232204576798051610,"['Tsing Ma Bridge', 'Victoria Harbour', 'Avenue Of Stars', 'Hong Kong Disneyland', 'Central']"
7232880747693051138,"['Mong Kok Station', 'Chi Lin Nunnery', 'Diamond Hill Station', 'Po Lin Monastery', 'Tai O', 'Tung Chung Station', 'Tai O Inn']"
7233132725979598126,"['Hong Kong Disneyland', ""Disney's Hollywood Hotel""]"
7233292277827915014,"['Sky 100', 'Victoria Peak']"
7233390442170125570,"['Hong Kong International Airport', 'Central']"
7233394700126915846,"['Hong Kong Cultural Centre', 'Repulse Bay', 'Po Lin Monastery', 'Lantau Island', 'Ngong Ping', 'Tai Mo Shan', 'Tai O']"
7234434098842979589,"['Hong Kong International Airport', 'Hung Hom Station']"
7234436829733195013,"['Causeway Bay', 'Mini Hotel', 'Cordis', 'Kowloon Station']"
7234450285098421510,"['Hong Kong International Airport', 'Tsing Ma Bridge']"
7234530604610555142,"[""Mak's Noodle"", 'Hong Kong Macau Ferry Terminal']"
7234560136449133829,"['Hong Kong International Airport', 'Ocean Park', 'Po Lin Monastery', 'Ngong Ping 360', 'Hong Kong Disneyland']"
7235085488732818693,"['K11 MUSEA', 'Admiralty', 'Museum of Art', 'Tsim Sha Tsui Station']"
7235195274040249605,"['Hong Kong Disneyland', 'Adventureland']"
7235337491685838085,"['Mong Kok', ""Ladies' Market"", 'Choi Hung Estate', 'Nan Lian Garden', 'Temple Street Night Market', 'Lantau Island', 'Tai O', 'Langham Place', 'The Ritz-Carlton', 'Central', 'Victoria Harbour', 'Causeway Bay', 'Wan Chai', 'Victoria Peak', 'Repulse Bay']"
7235918325585333505,"['Lau Sum Kee Noodle', 'Hop Yik Tai', 'Kung Wo Beancurd Factory', 'Sun Heung Yuen', 'Fuk Wa Camera', 'Kwan Kee Store']"
7235942256685960453,"['K11 MUSEA', 'Avenue Of Stars', 'Regent']"
7236060019412962606,"['Hong Kong International Airport', 'Tsim Sha Tsui', 'The Peninsula', '1881 Heritage', 'Harbour City']"
7236384361799519494,"['Hong Kong Disneyland', 'Pacific Place', 'Hong Kong Cultural Centre', 'The FOREST', 'Hong Kong International Airport']"
7236514706054286598,"['Australia Dairy Company', 'Chung Hing St', 'The Peninsula', 'Hung Hom Pancake', 'Kai Kai Dessert', 'Tsim Chai Kee Noodle', 'Ho Lee Fook']"
7236614296266951942,"['Carnarvon Rd', 'iSQUARE', 'Hong Kong International Airport', 'Madame Tussauds', 'Tsuen Wan']"
7236660882015571201,"['Hong Kong Island', 'Kowloon', 'Victoria Harbour', 'The Peak Tram', 'Kennedy Rd', 'Victoria Peak']"
7238578221564873986,"['Victoria Peak', 'Yaumatei Tin Hau Temple']"
7238664242617011461,"['Hong Kong International Airport', 'Cheung Hing Kee Shanghai Pan Fried Buns', 'Victoria Harbour', 'Hong Kong Disneyland']"
7238934037077839130,"['Lantau Island', 'Tai O']"
7238956605759294725,"['Ngong Ping 360', 'Ngong Ping', 'Ngong Ping Village', 'Cable Car Discovery Centre']"
7239302249258913026,"['Hong Kong International Airport', 'Victoria Harbour', 'Victoria Peak', 'Lan Fong Yuen', 'Central', 'Lan Kwai Fong']"
7239704730727877930,"['Tsuen Wan', 'Tsing Ma Bridge']"
7239704903889849602,"['Ngong Ping', 'Victoria Peak', 'Ngong Ping Village', 'Tian Tan Buddha', 'Lantau Island', 'Wisdom Path', 'Tai Mo Shan', 'Po Lin Monastery']"
7240349202516118789,"['Hong Kong Macau Ferry Terminal', 'Hong Kong-Zhuhai-Macao Bridge', 'Victoria Harbour']"
